Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
24/09/2025,A,4,13,0,0,0,0,1,1
24/09/2025,B,4,13,11,0,11,209,1,1
24/09/2025,C,4,13,0,0,0,0,1,1
24/09/2025,Total,12,39,11,0,11,209,3,3
25/09/2025,A,4,13,0,67,67,871,1,1
25/09/2025,B,4,13,12,0,12,228,1,1
25/09/2025,C,4,13,7,36,43,601,1,1
25/09/2025,Total,12,39,19,103,122,1700,3,3
26/09/2025,A,4,13,11,2,13,235,1,1
26/09/2025,B,4,13,4,27,31,427,1,1
26/09/2025,C,4,13,0,53,53,689,1,1
26/09/2025,Total,12,39,15,82,97,1351,3,3
27/09/2025,A,4,13,0,87,87,1131,1,1
27/09/2025,B,4,13,10,7,17,281,1,1
27/09/2025,C,4,13,0,73,73,949,1,1
27/09/2025,Total,12,39,10,167,177,2361,3,3
28/09/2025,A,4,13,0,76,76,988,1,1
28/09/2025,B,4,13,0,78,78,1014,1,1
28/09/2025,C,4,13,0,72,72,936,1,1
28/09/2025,Total,12,39,0,226,226,2938,3,3
29/09/2025,A,4,13,0,53,53,689,1,1
29/09/2025,B,4,13,15,0,15,285,1,1
29/09/2025,C,4,13,0,52,52,676,1,1
29/09/2025,Total,12,39,15,105,120,1650,3,3
30/09/2025,A,4,13,16,0,16,304,1,1
30/09/2025,B,4,13,15,0,15,285,1,1
30/09/2025,C,4,13,0,62,62,806,1,1
30/09/2025,Total,12,39,31,62,93,1395,3,3
